x	y
0.8340000000000001	0.3175
0.835	0.3167
0.8360000000000001	0.3161
0.837	0.3155
0.8380000000000001	0.3149
0.839	0.3143
0.8400000000000001	0.3136
0.841	0.3125
0.8420000000000001	0.3121
0.843	0.3113
0.8440000000000001	0.3107
0.845	0.3088
0.8460000000000001	0.3088
0.847	0.3088
0.8480000000000001	0.3075
0.849	0.3075
0.8500000000000001	0.3064
0.851	0.3064
0.852	0.3064
0.853	0.3054
0.854	0.3054
0.855	0.3042
0.856	0.3042
0.857	0.3032
0.858	0.3032
0.859	0.3018
0.86	0.3018
0.861	0.3018
0.862	0.301
0.863	0.301
0.864	0.2997
0.865	0.2997
0.866	0.2986
0.867	0.2986
0.868	0.297
0.869	0.297
0.87	0.2956
0.871	0.2956
0.872	0.2945
0.873	0.2945
0.874	0.2945
0.875	0.293
0.876	0.293
0.877	0.2912
0.878	0.2912
0.879	0.29
0.88	0.29
0.881	0.2893
0.882	0.2893
0.883	0.2884
0.884	0.2884
0.885	0.2873
0.886	0.2873
0.887	0.2862
0.888	0.2862
0.889	0.2856
0.89	0.2846
0.891	0.2846
0.892	0.2841
0.893	0.2841
0.894	0.283
0.895	0.283
0.896	0.2813
0.897	0.2813
0.898	0.2807
0.899	0.2807
0.9	0.2793
0.901	0.2782
0.902	0.2782
0.903	0.2766
0.904	0.2766
0.905	0.2753
0.906	0.2753
0.907	0.2738
0.908	0.2725
0.909	0.2725
0.91	0.2714
0.911	0.2714
0.912	0.2701
0.913	0.2684
0.914	0.2684
0.915	0.2673
0.916	0.2657
0.917	0.2657
0.9179999999999999	0.2646
0.919	0.2631
0.9199999999999999	0.2631
0.921	0.2617
0.9219999999999999	0.26
0.923	0.26
0.9239999999999999	0.2594
0.925	0.2578
0.9259999999999999	0.2578
0.927	0.2571
0.9279999999999999	0.2558
0.929	0.2558
0.9299999999999999	0.2544
0.931	0.2536
0.9319999999999999	0.2526
0.933	0.2526
0.9339999999999999	0.2513
0.935	0.2493
0.9359999999999999	0.2478
0.937	0.2473
0.938	0.2473
0.9390000000000001	0.2462
0.94	0.2448
0.9410000000000001	0.2441
0.942	0.2434
0.9430000000000001	0.2428
0.944	0.2428
0.9450000000000001	0.2415
0.946	0.2401
0.9470000000000001	0.239
0.948	0.238
0.9490000000000001	0.2369
0.95	0.2361
0.9510000000000001	0.234
0.952	0.2333
0.9530000000000001	0.2315
0.954	0.2302
0.9550000000000001	0.2296
0.956	0.2276
0.9570000000000001	0.2263
0.958	0.2254
0.9590000000000001	0.2243
0.96	0.2232
0.9610000000000001	0.2203
0.962	0.2187
0.9630000000000001	0.2181
0.964	0.2165
0.9650000000000001	0.2156
0.966	0.2138
0.9670000000000001	0.2126
0.968	0.2113
0.9690000000000001	0.2087
0.97	0.2081
0.9710000000000001	0.2049
0.972	0.2039
0.9730000000000001	0.2022
0.974	0.2013
0.9750000000000001	0.1993
0.976	0.1975
0.9770000000000001	0.1969
0.978	0.1939
0.9790000000000001	0.1922
0.98	0.1905
0.981	0.1891
0.982	0.1873
0.983	0.1847
0.984	0.1811
0.985	0.1791
0.986	0.1752
0.987	0.1725
0.988	0.1693
0.989	0.166
0.99	0.163
0.991	0.1594
0.992	0.1545
0.993	0.149
0.994	0.1448
0.995	0.1381
0.996	0.131
0.997	0.1235
0.998	0.1133
0.999	0.0976
1.0	0.0341
