x	y
0.833	0.5104
0.8340000000000001	0.5097
0.835	0.5084
0.8360000000000001	0.508
0.837	0.5074
0.8380000000000001	0.5067
0.839	0.5064
0.8400000000000001	0.506
0.841	0.5057
0.8420000000000001	0.505
0.843	0.5041
0.8440000000000001	0.5036
0.845	0.5029
0.8460000000000001	0.5021
0.847	0.5013
0.8480000000000001	0.5008
0.849	0.5001
0.8500000000000001	0.499
0.851	0.4981
0.852	0.4974
0.853	0.4966
0.854	0.4962
0.855	0.4957
0.856	0.495
0.857	0.4947
0.858	0.4943
0.859	0.4941
0.86	0.4937
0.861	0.4932
0.862	0.4918
0.863	0.4914
0.864	0.4906
0.865	0.4897
0.866	0.4887
0.867	0.4883
0.868	0.488
0.869	0.4874
0.87	0.4872
0.871	0.4865
0.872	0.4855
0.873	0.4852
0.874	0.4848
0.875	0.484
0.876	0.4828
0.877	0.4821
0.878	0.4813
0.879	0.4805
0.88	0.4799
0.881	0.4793
0.882	0.4788
0.883	0.478
0.884	0.4768
0.885	0.4755
0.886	0.475
0.887	0.474
0.888	0.4734
0.889	0.4726
0.89	0.4718
0.891	0.4714
0.892	0.4707
0.893	0.4701
0.894	0.4697
0.895	0.4692
0.896	0.4686
0.897	0.4675
0.898	0.4664
0.899	0.465
0.9	0.464
0.901	0.4634
0.902	0.4627
0.903	0.4622
0.904	0.4615
0.905	0.4608
0.906	0.4601
0.907	0.459
0.908	0.4587
0.909	0.4577
0.91	0.457
0.911	0.4559
0.912	0.4546
0.913	0.4532
0.914	0.4524
0.915	0.4515
0.916	0.4502
0.917	0.4488
0.9179999999999999	0.4477
0.919	0.4467
0.9199999999999999	0.4449
0.921	0.4443
0.9219999999999999	0.4435
0.923	0.4425
0.9239999999999999	0.4412
0.925	0.4404
0.9259999999999999	0.4391
0.927	0.438
0.9279999999999999	0.4367
0.929	0.4357
0.9299999999999999	0.4347
0.931	0.4331
0.9319999999999999	0.4318
0.933	0.4315
0.9339999999999999	0.4307
0.935	0.4298
0.9359999999999999	0.4291
0.937	0.4283
0.938	0.4269
0.9390000000000001	0.426
0.94	0.4249
0.9410000000000001	0.4241
0.942	0.4229
0.9430000000000001	0.4213
0.944	0.4206
0.9450000000000001	0.4189
0.946	0.4176
0.9470000000000001	0.4163
0.948	0.4153
0.9490000000000001	0.4134
0.95	0.4114
0.9510000000000001	0.4101
0.952	0.4088
0.9530000000000001	0.4078
0.954	0.4059
0.9550000000000001	0.405
0.956	0.4035
0.9570000000000001	0.4023
0.958	0.4008
0.9590000000000001	0.3989
0.96	0.3974
0.9610000000000001	0.396
0.962	0.3948
0.9630000000000001	0.393
0.964	0.3908
0.9650000000000001	0.3888
0.966	0.3869
0.9670000000000001	0.3853
0.968	0.3832
0.9690000000000001	0.3808
0.97	0.3791
0.9710000000000001	0.3766
0.972	0.3752
0.9730000000000001	0.3723
0.974	0.3711
0.9750000000000001	0.3684
0.976	0.3657
0.9770000000000001	0.3635
0.978	0.3605
0.9790000000000001	0.3571
0.98	0.3546
0.981	0.3513
0.982	0.3481
0.983	0.345
0.984	0.3424
0.985	0.3396
0.986	0.3326
0.987	0.3301
0.988	0.3257
0.989	0.3229
0.99	0.3174
0.991	0.3119
0.992	0.3063
0.993	0.3002
0.994	0.293
0.995	0.2865
0.996	0.2777
0.997	0.2628
0.998	0.2475
0.999	0.2259
1.0	0.1147
