x	y
0.8340000000000001	0.5007
0.835	0.5002
0.8360000000000001	0.4997
0.837	0.4994
0.8380000000000001	0.4989
0.839	0.4985
0.8400000000000001	0.4977
0.841	0.4976
0.8420000000000001	0.4974
0.843	0.4965
0.8440000000000001	0.496
0.845	0.4957
0.8460000000000001	0.4955
0.847	0.4953
0.8480000000000001	0.4948
0.849	0.4946
0.8500000000000001	0.4942
0.851	0.4934
0.852	0.4926
0.853	0.4921
0.854	0.4917
0.855	0.4915
0.856	0.4911
0.857	0.491
0.858	0.49
0.859	0.4898
0.86	0.4895
0.861	0.489
0.862	0.4884
0.863	0.4882
0.864	0.4879
0.865	0.4874
0.866	0.4869
0.867	0.4864
0.868	0.486
0.869	0.4852
0.87	0.4846
0.871	0.4841
0.872	0.4836
0.873	0.483
0.874	0.4822
0.875	0.4818
0.876	0.4816
0.877	0.481
0.878	0.4805
0.879	0.4797
0.88	0.4795
0.881	0.4785
0.882	0.4783
0.883	0.4775
0.884	0.4772
0.885	0.4767
0.886	0.4764
0.887	0.4762
0.888	0.4753
0.889	0.4741
0.89	0.4736
0.891	0.4728
0.892	0.4724
0.893	0.4717
0.894	0.4713
0.895	0.4709
0.896	0.4701
0.897	0.4697
0.898	0.4694
0.899	0.4687
0.9	0.4676
0.901	0.4667
0.902	0.4662
0.903	0.4657
0.904	0.4649
0.905	0.4646
0.906	0.4644
0.907	0.4641
0.908	0.4633
0.909	0.4624
0.91	0.4615
0.911	0.4607
0.912	0.4601
0.913	0.4591
0.914	0.4582
0.915	0.4576
0.916	0.4575
0.917	0.4566
0.9179999999999999	0.4558
0.919	0.455
0.9199999999999999	0.4541
0.921	0.4533
0.9219999999999999	0.4525
0.923	0.4516
0.9239999999999999	0.4513
0.925	0.4511
0.9259999999999999	0.4503
0.927	0.4497
0.9279999999999999	0.449
0.929	0.448
0.9299999999999999	0.4476
0.931	0.447
0.9319999999999999	0.4461
0.933	0.4456
0.9339999999999999	0.4452
0.935	0.4446
0.9359999999999999	0.4439
0.937	0.4427
0.938	0.4418
0.9390000000000001	0.4406
0.94	0.4393
0.9410000000000001	0.4376
0.942	0.437
0.9430000000000001	0.436
0.944	0.4354
0.9450000000000001	0.4336
0.946	0.4326
0.9470000000000001	0.4319
0.948	0.4313
0.9490000000000001	0.4303
0.95	0.4291
0.9510000000000001	0.4281
0.952	0.427
0.9530000000000001	0.4258
0.954	0.4248
0.9550000000000001	0.4236
0.956	0.4224
0.9570000000000001	0.4215
0.958	0.4204
0.9590000000000001	0.4183
0.96	0.4162
0.9610000000000001	0.4147
0.962	0.4137
0.9630000000000001	0.4127
0.964	0.4112
0.9650000000000001	0.41
0.966	0.4089
0.9670000000000001	0.4072
0.968	0.4062
0.9690000000000001	0.4044
0.97	0.4032
0.9710000000000001	0.4016
0.972	0.4003
0.9730000000000001	0.398
0.974	0.3966
0.9750000000000001	0.3944
0.976	0.3931
0.9770000000000001	0.3919
0.978	0.3903
0.9790000000000001	0.3875
0.98	0.3851
0.981	0.3835
0.982	0.3816
0.983	0.3798
0.984	0.3781
0.985	0.3764
0.986	0.3727
0.987	0.3702
0.988	0.3667
0.989	0.3644
0.99	0.3596
0.991	0.3558
0.992	0.3522
0.993	0.3487
0.994	0.3436
0.995	0.3375
0.996	0.3314
0.997	0.3228
0.998	0.3102
0.999	0.2898
1.0	0.1861
